Date,Description,Amount,Category
2026-02-10,BookMyShow,759.0,One-Time Spend
2026-02-11,SPOTIFY INDIA MON-PAYMENT,119.0,Entertainment
2026-02-11,Petrol Pump UPI,1550.0,One-Time Spend
2026-02-14,CHATGPT PLUS SUBSCRIPTION,1999.0,AI Tool
2026-02-16,Zomato Payment,1413.0,One-Time Spend
2026-02-21,AWS WEB SERVICES MONTHLY,820.0,Cloud/SaaS
2026-02-21,BookMyShow,865.0,One-Time Spend
2026-02-22,Petrol Pump UPI,1325.0,One-Time Spend
2026-02-22,Local Grocery Store,114.0,One-Time Spend
2026-02-22,Zomato Payment,1534.0,One-Time Spend
2026-02-24,Swiggy Order,295.0,One-Time Spend
2026-02-25,Amazon Retail,650.0,One-Time Spend
2026-02-28,Swiggy Order,2264.0,One-Time Spend
2026-02-28,Amazon Retail,1577.0,One-Time Spend
2026-02-28,Petrol Pump UPI,2381.0,One-Time Spend
2026-03-01,CULT FIT GYM AUTODEBIT,1500.0,Fitness
2026-03-03,Local Grocery Store,351.0,One-Time Spend
2026-03-04,NETFLIX RECURRING AUTOPAY,649.0,Entertainment
2026-03-06,Uber Ride,275.0,One-Time Spend
2026-03-09,Petrol Pump UPI,1404.0,One-Time Spend
2026-03-11,BookMyShow,1736.0,One-Time Spend
2026-03-12,Uber Ride,1846.0,One-Time Spend
2026-03-13,SPOTIFY INDIA MON-PAYMENT,119.0,Entertainment
2026-03-14,Swiggy Order,1535.0,One-Time Spend
2026-03-15,Local Grocery Store,1233.0,One-Time Spend
2026-03-16,CHATGPT PLUS SUBSCRIPTION,1999.0,AI Tool
2026-03-16,Uber Ride,1945.0,One-Time Spend
2026-03-16,Uber Ride,2106.0,One-Time Spend
2026-03-17,Local Grocery Store,247.0,One-Time Spend
2026-03-19,Local Grocery Store,387.0,One-Time Spend
2026-03-20,Amazon Retail,2232.0,One-Time Spend
2026-03-21,AWS WEB SERVICES MONTHLY,820.0,Cloud/SaaS
2026-03-21,Uber Ride,312.0,One-Time Spend
2026-03-28,Swiggy Order,1293.0,One-Time Spend
2026-03-30,Amazon Retail,1317.0,One-Time Spend
2026-03-31,Local Grocery Store,145.0,One-Time Spend
2026-03-31,Amazon Retail,1686.0,One-Time Spend
2026-03-31,Swiggy Order,2009.0,One-Time Spend
2026-04-01,CULT FIT GYM AUTODEBIT,1500.0,Fitness
2026-04-02,BookMyShow,1809.0,One-Time Spend
2026-04-02,Swiggy Order,677.0,One-Time Spend
2026-04-02,Uber Ride,1006.0,One-Time Spend
2026-04-02,Zomato Payment,1396.0,One-Time Spend
2026-04-06,NETFLIX RECURRING AUTOPAY,649.0,Entertainment
2026-04-08,Petrol Pump UPI,291.0,One-Time Spend
2026-04-08,Swiggy Order,2099.0,One-Time Spend
2026-04-09,Uber Ride,596.0,One-Time Spend
2026-04-11,Uber Ride,1572.0,One-Time Spend
2026-04-12,Swiggy Order,696.0,One-Time Spend
2026-04-13,SPOTIFY INDIA MON-PAYMENT,119.0,Entertainment
2026-04-14,Zomato Payment,1647.0,One-Time Spend
2026-04-15,CHATGPT PLUS SUBSCRIPTION,1999.0,AI Tool
2026-04-15,Zomato Payment,1866.0,One-Time Spend
2026-04-16,BookMyShow,252.0,One-Time Spend
2026-04-16,Swiggy Order,447.0,One-Time Spend
2026-04-18,Local Grocery Store,1844.0,One-Time Spend
2026-04-19,Uber Ride,1869.0,One-Time Spend
2026-04-20,Amazon Retail,552.0,One-Time Spend
2026-04-21,AWS WEB SERVICES MONTHLY,820.0,Cloud/SaaS
2026-04-23,Swiggy Order,1493.0,One-Time Spend
2026-04-29,Amazon Retail,1635.0,One-Time Spend
2026-04-29,Uber Ride,468.0,One-Time Spend
2026-05-01,CULT FIT GYM AUTODEBIT,1500.0,Fitness
2026-05-01,CULT FIT GYM AUTODEBIT,1500.0,Fitness
2026-05-04,NETFLIX RECURRING AUTOPAY,649.0,Entertainment
2026-05-04,NETFLIX RECURRING AUTOPAY,649.0,Entertainment
2026-05-07,BookMyShow,1417.0,One-Time Spend
2026-05-10,BookMyShow,1528.0,One-Time Spend
2026-05-10,Swiggy Order,2287.0,One-Time Spend
